name,Gender,Eye color,Race,Hair color,Height,Publisher,Alignment,Weight
A-Bomb,Male,yellow,Human,No Hair,203.0,Marvel Comics,good,441.0
Abe Sapien,Male,blue,Icthyo Sapien,No Hair,191.0,Dark Horse Comics,good,65.0
Abin Sur,Male,blue,Ungaran,No Hair,185.0,DC Comics,good,90.0
Abomination,Male,green,Human / Radiation,No Hair,203.0,Marvel Comics,bad,441.0
Abraxas,Male,blue,Cosmic Entity,Black,,Marvel Comics,bad,
Absorbing Man,Male,blue,Human,No Hair,193.0,Marvel Comics,bad,122.0
Adam Monroe,Male,blue,,Blond,,NBC - Heroes,good,
Adam Strange,Male,blue,Human,Blond,185.0,DC Comics,good,88.0
Agent 13,Female,blue,,Blond,173.0,Marvel Comics,good,61.0
Agent Bob,Male,brown,Human,Brown,178.0,Marvel Comics,good,81.0
Agent Zero,Male,,,,191.0,Marvel Comics,good,104.0
Air-Walker,Male,blue,,White,188.0,Marvel Comics,bad,108.0
Ajax,Male,brown,Cyborg,Black,193.0,Marvel Comics,bad,90.0
Alan Scott,Male,blue,,Blond,180.0,DC Comics,good,90.0
Alex Mercer,Male,,Human,,,Wildstorm,bad,
Alex Woolsly,Male,,,,,NBC - Heroes,good,
Alfred Pennyworth,Male,blue,Human,Black,178.0,DC Comics,good,72.0
Alien,Male,,Xenomorph XX121,No Hair,244.0,Dark Horse Comics,bad,169.0
Allan Quatermain,Male,,,,,Wildstorm,good,
Amazo,Male,red,Android,,257.0,DC Comics,bad,173.0
Ammo,Male,brown,Human,Black,188.0,Marvel Comics,bad,101.0
Ando Masahashi,Male,,,,,NBC - Heroes,good,
Angel,Male,blue,,Blond,183.0,Marvel Comics,good,68.0
Angel,Male,,Vampire,,,Dark Horse Comics,good,
Angel Dust,Female,yellow,Mutant,Black,165.0,Marvel Comics,good,57.0
Angel Salvadore,Female,brown,,Black,163.0,Marvel Comics,good,54.0
Angela,Female,,,,,Image Comics,bad,
Animal Man,Male,blue,Human,Blond,183.0,DC Comics,good,83.0
Annihilus,Male,green,,No Hair,180.0,Marvel Comics,bad,90.0
Ant-Man,Male,blue,Human,Blond,211.0,Marvel Comics,good,122.0
Ant-Man II,Male,blue,Human,Blond,183.0,Marvel Comics,good,86.0
Anti-Monitor,Male,yellow,God / Eternal,No Hair,61.0,DC Comics,bad,
Anti-Spawn,Male,,,,,Image Comics,bad,
Anti-Venom,Male,blue,Symbiote,Blond,229.0,Marvel Comics,,358.0
Apocalypse,Male,red,Mutant,Black,213.0,Marvel Comics,bad,135.0
Aquababy,Male,blue,,Blond,,DC Comics,good,
Aqualad,Male,blue,Atlantean,Black,178.0,DC Comics,good,106.0
Aquaman,Male,blue,Atlantean,Blond,185.0,DC Comics,good,146.0
Arachne,Female,blue,Human,Blond,175.0,Marvel Comics,good,63.0
Archangel,Male,blue,Mutant,Blond,183.0,Marvel Comics,good,68.0
Arclight,Female,violet,,Purple,173.0,Marvel Comics,bad,57.0
Ardina,Female,white,Alien,Orange,193.0,Marvel Comics,good,98.0
Ares,Male,brown,,Brown,185.0,Marvel Comics,good,270.0
Ariel,Female,purple,,Pink,165.0,Marvel Comics,good,59.0
Armor,Female,black,,Black,163.0,Marvel Comics,good,50.0
Arsenal,Male,,Human,,,DC Comics,good,
Astro Boy,Male,brown,,Black,,,good,
Atlas,Male,brown,Mutant,Red,183.0,Marvel Comics,good,101.0
Atlas,Male,blue,God / Eternal,Brown,198.0,DC Comics,bad,126.0
Atom,Male,blue,,Red,178.0,DC Comics,good,68.0
Atom,Male,,,,,DC Comics,good,
Atom Girl,Female,black,,Black,168.0,DC Comics,good,54.0
Atom II,Male,brown,Human,Auburn,183.0,DC Comics,good,81.0
Atom III,Male,,,Red,,DC Comics,good,
Atom IV,Male,brown,,Black,,DC Comics,good,72.0
Aurora,Female,blue,Mutant,Black,180.0,Marvel Comics,good,63.0
Azazel,Male,yellow,Neyaphem,Black,183.0,Marvel Comics,bad,67.0
Azrael,Male,brown,Human,Black,,DC Comics,good,
Aztar,Male,,,,,DC Comics,good,
Bane,Male,,Human,,203.0,DC Comics,bad,180.0
Banshee,Male,green,Human,Strawberry Blond,183.0,Marvel Comics,good,77.0
Bantam,Male,brown,,Black,165.0,Marvel Comics,good,54.0
Batgirl,Female,,,,,DC Comics,good,
Batgirl,Female,green,Human,Red,170.0,DC Comics,good,57.0
Batgirl III,Female,,,,,DC Comics,good,
Batgirl IV,Female,green,Human,Black,165.0,DC Comics,good,52.0
Batgirl V,Female,,,,,DC Comics,good,
Batgirl VI,Female,blue,,Blond,168.0,DC Comics,good,61.0
Batman,Male,blue,Human,black,188.0,DC Comics,good,95.0
Batman,Male,blue,Human,Black,178.0,DC Comics,good,77.0
Batman II,Male,blue,Human,Black,178.0,DC Comics,good,79.0
Battlestar,Male,brown,,Black,198.0,Marvel Comics,good,133.0
Batwoman V,Female,green,Human,Red,178.0,DC Comics,good,
Beak,Male,black,,White,175.0,Marvel Comics,good,63.0
Beast,Male,blue,Mutant,Blue,180.0,Marvel Comics,good,181.0
Beast Boy,Male,green,Human,Green,173.0,DC Comics,good,68.0
Beetle,Male,,,,,Marvel Comics,bad,
Ben 10,Male,,,,,DC Comics,good,
Beta Ray Bill,Male,,,No Hair,201.0,Marvel Comics,good,216.0
Beyonder,Male,,God / Eternal,,,Marvel Comics,good,
Big Barda,Female,blue,New God,Black,188.0,DC Comics,bad,135.0
Big Daddy,Male,,,,,Icon Comics,good,
Big Man,Male,blue,,Brown,165.0,Marvel Comics,bad,71.0
Bill Harken,Male,,Alpha,,,SyFy,good,
Billy Kincaid,Male,,,,,Image Comics,bad,
Binary,Female,blue,,Blond,180.0,Marvel Comics,good,54.0
Bionic Woman,Female,blue,Cyborg,Black,,,good,
Bird-Brain,,,,,,Marvel Comics,good,
Bird-Man,Male,,Human,,,Marvel Comics,bad,
Bird-Man II,Male,,Human,,,Marvel Comics,bad,
Birdman,Male,,God / Eternal,,,Hanna-Barbera,good,
Bishop,Male,brown,Mutant,No Hair,198.0,Marvel Comics,good,124.0
Bizarro,Male,black,Bizarro,Black,191.0,DC Comics,neutral,155.0
Black Abbott,Male,red,,Black,,Marvel Comics,bad,
Black Adam,Male,brown,,Black,191.0,DC Comics,bad,113.0
Black Bolt,Male,blue,Inhuman,Black,188.0,Marvel Comics,good,95.0
Black Canary,Female,blue,Human,Blond,165.0,DC Comics,good,58.0
Black Canary,Female,blue,Metahuman,Blond,170.0,DC Comics,good,59.0
Black Cat,Female,green,Human,Blond,178.0,Marvel Comics,good,54.0
Black Flash,Male,,God / Eternal,,,DC Comics,neutral,
Black Goliath,Male,,,,,Marvel Comics,good,
Black Knight III,Male,brown,Human,Brown,183.0,Marvel Comics,good,86.0
Black Lightning,Male,brown,,No Hair,185.0,DC Comics,good,90.0
Black Mamba,Female,green,,Black,170.0,Marvel Comics,bad,52.0
Black Manta,Male,black,Human,No Hair,188.0,DC Comics,bad,92.0
Black Panther,Male,brown,Human,Black,183.0,Marvel Comics,good,90.0
Black Widow,Female,green,Human,Auburn,170.0,Marvel Comics,good,59.0
Black Widow II,Female,blue,,Blond,170.0,Marvel Comics,good,61.0
Blackout,Male,red,Demon,White,191.0,Marvel Comics,bad,104.0
Blackwing,Male,blue,,Black,185.0,Marvel Comics,bad,86.0
Blackwulf,Male,red,Alien,White,188.0,Marvel Comics,,88.0
Blade,Male,brown,Vampire,Black,188.0,Marvel Comics,good,97.0
Blaquesmith,,black,,No Hair,,Marvel Comics,good,
Bling!,Female,,,,168.0,Marvel Comics,good,68.0
Blink,Female,green,Mutant,Magenta,165.0,Marvel Comics,good,56.0
Blizzard,Male,,,,,Marvel Comics,bad,
Blizzard,Male,,,Brown,,Marvel Comics,bad,
Blizzard II,Male,brown,,Brown,175.0,Marvel Comics,bad,77.0
Blob,Male,brown,,Brown,178.0,Marvel Comics,bad,230.0
Bloodaxe,Female,blue,Human,Brown,218.0,Marvel Comics,bad,495.0
Bloodhawk,Male,black,Mutant,No Hair,,Marvel Comics,good,
Bloodwraith,Male,white,,No Hair,30.5,Marvel Comics,bad,
Blue Beetle,Male,blue,,Brown,,DC Comics,good,
Blue Beetle,Male,,,,,DC Comics,good,
Blue Beetle II,Male,blue,,Brown,183.0,DC Comics,good,86.0
Blue Beetle III,Male,brown,Human,Black,,DC Comics,good,
Boba Fett,Male,brown,Human / Clone,Black,183.0,George Lucas,bad,
Bolt,Male,,,,,Marvel Comics,good,
Bomb Queen,Female,,,,,Image Comics,bad,
Boom-Boom,Female,blue,Mutant,Blond,165.0,Marvel Comics,good,55.0
Boomer,Female,,,,,Marvel Comics,good,
Booster Gold,Male,blue,Human,Blond,196.0,DC Comics,good,97.0
Box,Male,,,,,Marvel Comics,good,
Box III,,blue,,Blond,193.0,Marvel Comics,good,110.0
Box IV,,brown,,Brown / Black,,Marvel Comics,good,
Brainiac,Male,green,Android,No Hair,198.0,DC Comics,bad,135.0
Brainiac 5,Male,green,,Blond,170.0,DC Comics,good,61.0
Brother Voodoo,Male,brown,Human,Brown / White,183.0,Marvel Comics,good,99.0
Brundlefly,Male,,Mutant,,193.0,,,
Buffy,Female,green,Human,Blond,157.0,Dark Horse Comics,good,52.0
Bullseye,Male,blue,Human,blond,183.0,Marvel Comics,bad,90.0
Bumblebee,Female,brown,Human,Black,170.0,DC Comics,good,59.0
Bumbleboy,Male,,,,,Marvel Comics,good,
Bushido,Male,,Human,,,DC Comics,good,
Cable,Male,blue,Mutant,White,203.0,Marvel Comics,good,158.0
Callisto,Female,blue,,Black,175.0,Marvel Comics,bad,74.0
Cameron Hicks,Male,,Alpha,,,SyFy,good,
Cannonball,Male,blue,,Blond,183.0,Marvel Comics,good,81.0
Captain America,Male,blue,Human,blond,188.0,Marvel Comics,good,108.0
Captain Atom,Male,blue,Human / Radiation,Silver,193.0,DC Comics,good,90.0
Captain Britain,Male,blue,Human,Blond,198.0,Marvel Comics,good,116.0
Captain Cold,Male,brown,Human,Brown,,DC Comics,neutral,
Captain Epic,Male,blue,,Brown,188.0,Team Epic TV,good,
Captain Hindsight,Male,,Human,Black,,South Park,good,
Captain Mar-vell,Male,blue,,Blond,188.0,Marvel Comics,good,108.0
Captain Marvel,Female,blue,Human-Kree,Blond,180.0,Marvel Comics,good,74.0
Captain Marvel,Male,blue,Human,Black,193.0,DC Comics,good,101.0
Captain Marvel II,Male,blue,Human,Black,175.0,DC Comics,good,74.0
Captain Midnight,Male,,Human,,,Dark Horse Comics,good,
Captain Planet,Male,red,God / Eternal,Green,,Marvel Comics,good,
Captain Universe,,,God / Eternal,,,Marvel Comics,good,
Carnage,Male,green,Symbiote,Red,185.0,Marvel Comics,bad,86.0
Cat,Female,blue,,Blond,173.0,Marvel Comics,good,61.0
Cat II,Female,,,,,Marvel Comics,good,
Catwoman,Female,green,Human,Black,175.0,DC Comics,good,61.0
Cecilia Reyes,,brown,,Brown,170.0,Marvel Comics,good,62.0
Century,Male,white,Alien,White,201.0,Marvel Comics,good,97.0
Cerebra,Female,,Mutant,,,Marvel Comics,good,
Chamber,Male,brown,Mutant,Brown,175.0,Marvel Comics,good,63.0
Chameleon,Male,,,,,DC Comics,bad,
Changeling,Male,brown,,Black,180.0,Marvel Comics,bad,81.0
Cheetah,Female,green,Human,Blond,163.0,DC Comics,bad,50.0
Cheetah II,Female,green,Human,Brown,170.0,DC Comics,bad,55.0
Cheetah III,Female,brown,Human,Brown,175.0,DC Comics,bad,54.0
Chromos,Male,brown,,Red / Grey,185.0,Team Epic TV,bad,86.0
Chuck Norris,Male,,,,178.0,,good,
Citizen Steel,Male,green,Human,Red,183.0,DC Comics,good,170.0
Claire Bennet,Female,blue,,Blond,,NBC - Heroes,good,
Clea,,,,White,,Marvel Comics,good,
Cloak,Male,brown,,black,226.0,Marvel Comics,good,70.0
Clock King,Male,blue,Human,Black,178.0,DC Comics,bad,78.0
Cogliostro,Male,,,,,Image Comics,bad,
Colin Wagner,Male,grey,,Brown,,HarperCollins,good,
Colossal Boy,Male,,,,,DC Comics,good,
Colossus,Male,silver,Mutant,Black,226.0,Marvel Comics,good,225.0
Copycat,Female,red,Mutant,White,183.0,Marvel Comics,neutral,67.0
Corsair,Male,brown,,Brown,191.0,Marvel Comics,good,79.0
Cottonmouth,Male,brown,Human,Black,183.0,Marvel Comics,bad,99.0
Crimson Crusader,Male,blue,,Strawberry Blond,,Marvel Comics,good,
